"CVP","PCWP","HIST","TPR","BP","CO","HRBP","HREK","HRSA","PAP","SAO2","FIO2","PRSS","ECO2","MINV","MVS","HYP","LVF","APL","ANES","PMB","INT","KINK","DISC","LVV","STKV","CCHL","ERLO","HR","ERCA","SHNT","PVS","ACO2","VALV","VLNG","VTUB","VMCH"
"LOW","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","TRUE","FALSE","LOW","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","HIGH","FALSE","LOW","LOW","LOW","HIGH","HIGH","HIGH","NORMAL","NORMAL","NORMAL","HIGH","ZERO","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","HIGH","FALSE","HIGH","FALSE","NORMAL","NORMAL","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","LOW","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","HIGH","ZERO","ZERO","LOW","HIGH"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","TRUE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"HIGH","HIGH","FALSE","NORMAL","NORMAL","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"HIGH","HIGH","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","HIGH","HIGH","NORMAL","HIGH","LOW","HIGH","LOW","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","HIGH","LOW","HIGH","LOW","ZERO","LOW"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","LOW","LOW","HIGH","HIGH","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","HIGH","LOW","HIGH","LOW","HIGH","HIGH"
"LOW","LOW","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","LOW","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","HIGH","HIGH","HIGH","FALSE","FALSE","FALSE","FALSE","FALSE","ONESIDED","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","HIGH","LOW","LOW","LOW","HIGH","HIGH","HIGH"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","HIGH","LOW","HIGH","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","TRUE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","HIGH","LOW","HIGH","LOW","ZERO","NORMAL"
"LOW","LOW","FALSE","HIGH","HIGH","NORMAL","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","HIGH","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","LOW","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","ZERO","ZERO"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","HIGH","LOW","LOW","LOW","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","FALSE","LOW","LOW","LOW","HIGH","HIGH","LOW","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","TRUE","LOW","LOW","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","ZERO","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","NORMAL","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","NORMAL","NORMAL","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","HIGH","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","LOW","LOW","NORMAL","LOW","FALSE","FALSE","FALSE","FALSE","FALSE","ONESIDED","FALSE","FALSE","HIGH","NORMAL","NORMAL","FALSE","NORMAL","FALSE","HIGH","LOW","NORMAL","NORMAL","ZERO","ZERO","LOW"
"HIGH","HIGH","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","TRUE","HIGH","NORMAL","LOW","LOW","LOW","LOW","NORMAL","LOW","NORMAL","HIGH","NORMAL","LOW","NORMAL","FALSE","TRUE","FALSE","TRUE","FALSE","NORMAL","FALSE","FALSE","LOW","LOW","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","NORMAL","NORMAL","NORMAL","LOW","NORMAL"
"HIGH","HIGH","FALSE","NORMAL","LOW","LOW","LOW","HIGH","NORMAL","LOW","LOW","NORMAL","HIGH","NORMAL","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","TRUE","FALSE","HIGH","LOW","NORMAL","FALSE","NORMAL","TRUE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","NORMAL","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","LOW","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","NORMAL","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","LOW","NORMAL","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","NORMAL","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","TRUE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","ZERO","LOW","LOW","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","ONESIDED","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","HIGH","LOW","LOW","LOW","LOW","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","NORMAL","LOW","NORMAL","HIGH","LOW","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","LOW","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","HIGH","FALSE","LOW","LOW","HIGH","HIGH","NORMAL","NORMAL","HIGH","HIGH","NORMAL","HIGH","LOW","HIGH","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","TRUE","NORMAL","NORMAL","HIGH","FALSE","HIGH","TRUE","NORMAL","HIGH","LOW","HIGH","LOW","ZERO","NORMAL"
"HIGH","HIGH","FALSE","LOW","LOW","LOW","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","HIGH","FALSE","HIGH","FALSE","HIGH","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","LOW","NORMAL","FALSE","FALSE","TRUE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","NORMAL","HIGH","HIGH","HIGH","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","HIGH","FALSE","HIGH","HIGH","NORMAL","LOW","HIGH","NORMAL","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","HIGH","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","TRUE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","HIGH"
"NORMAL","HIGH","FALSE","NORMAL","LOW","LOW","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","NORMAL","NORMAL","LOW","LOW","HIGH","NORMAL","LOW","NORMAL","NORMAL","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","TRUE","HIGH","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","LOW","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","LOW","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","NORMAL","NORMAL","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","TRUE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","HIGH","FALSE","NORMAL","NORMAL","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","ZERO","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","ZERO","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","HIGH","LOW","HIGH","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","LOW","LOW","HIGH","HIGH","NORMAL","NORMAL","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","TRUE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","TRUE","NORMAL","LOW","LOW","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","FALSE","TRUE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","LOW","LOW","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"LOW","LOW","TRUE","NORMAL","LOW","LOW","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","NORMAL","NORMAL","TRUE","TRUE","FALSE","FALSE","FALSE","ONESIDED","FALSE","TRUE","LOW","LOW","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","NORMAL","ZERO","ZERO","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","LOW","ZERO","ZERO","NORMAL","FALSE","FALSE","FALSE","TRUE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","HIGH","FALSE","LOW","LOW","LOW","NORMAL","NORMAL","NORMAL","NORMAL","LOW","NORMAL","HIGH","ZERO","ZERO","NORMAL","TRUE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","HIGH","TRUE","HIGH","TRUE","NORMAL","LOW","LOW","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","NORMAL","NORMAL","LOW","LOW","LOW","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","HIGH","LOW","HIGH","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","TRUE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","HIGH","LOW","HIGH","LOW","ZERO","NORMAL"
"NORMAL","NORMAL","FALSE","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","HIGH","NORMAL","LOW","LOW","HIGH","NORMAL","FALSE","FALSE","FALSE","TRUE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","HIGH","LOW","HIGH","LOW","LOW","NORMAL"
"NORMAL","LOW","FALSE","NORMAL","LOW","HIGH","NORMAL","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","TRUE","HIGH","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"NORMAL","NORMAL","FALSE","NORMAL","NORMAL","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","HIGH","LOW","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","LOW","HIGH","ZERO","ZERO"
"LOW","NORMAL","FALSE","LOW","LOW","HIGH","NORMAL","HIGH","HIGH","NORMAL","LOW","NORMAL","NORMAL","LOW","ZERO","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","NORMAL","FALSE","FALSE","NORMAL","HIGH","HIGH","TRUE","HIGH","FALSE","NORMAL","LOW","NORMAL","ZERO","ZERO","LOW","NORMAL"
"LOW","NORMAL","FALSE","NORMAL","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","NORMAL","HIGH","ZERO","LOW","NORMAL","FALSE","FALSE","FALSE","FALSE","FALSE","ESOPHAGEAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","HIGH","FALSE","NORMAL","LOW","LOW","LOW","ZERO","LOW","NORMAL"
