"SalePrice","Neighborhood","LotArea","YrBuilt","HouseStyle","Foundation","RoofMatl","Ext1","Heating","Central.Air","TtlBsmtSF","TotRmsAbvGrd","GarageType","Cars","GarageArea","NmbrBRs","YrSold_YYYY","MoSold_MM","SaleDate","id"
320000,"Stonebr",6199,1993,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1812,5,"Attachd",3,768,2,2014,7,"2014-07-01",12
255000,"Stonebr",5039,1994,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1471,5,"Attachd",2,568,2,2013,9,"2013-09-01",13
260000,"Stonebr",5054,1994,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1750,5,"Attachd",2,499,2,2012,8,"2012-08-01",14
225000,"Stonebr",5154,1994,"2-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1290,6,"Attachd",2,524,3,2012,8,"2012-08-01",15
230000,"Stonebr",5154,1996,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1142,4,"Attachd",2,499,1,2014,6,"2014-06-01",16
170000,"Gilbert",2812,1998,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1314,5,"Attachd",2,410,2,2013,7,"2013-07-01",17
105000,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",1,224,2,2012,9,"2012-09-01",18
128000,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",2,419,2,2012,12,"2012-12-01",19
120000,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",2,419,2,2012,9,"2012-09-01",20
109250,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",1,224,2,2013,5,"2013-05-01",21
67000,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2013,8,"2013-08-01",22
127000,"Blmngtn",4693,1996,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",2,419,2,2013,5,"2013-05-01",23
121900,"Blmngtn",4693,1997,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2014,7,"2014-07-01",24
112000,"Blmngtn",4693,1998,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2013,9,"2013-09-01",25
109500,"Blmngtn",4693,1998,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"BuiltIn",1,224,2,2012,3,"2012-03-01",26
108250,"Blmngtn",4693,1998,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2012,1,"2012-01-01",27
120000,"Blmngtn",4693,1997,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2012,8,"2012-08-01",28
112200,"Blmngtn",4693,1997,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",2,419,2,2014,2,"2014-02-01",29
110300,"Blmngtn",4693,1997,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",1,224,2,2012,7,"2012-07-01",30
127500,"Blmngtn",4693,1997,"2-Story","Slab","CompShg","VinylSd","GasFWA","Yes",0,5,"Attachd",2,419,2,2013,9,"2013-09-01",31
242000,"Gilbert",12054,2003,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",916,8,"BuiltIn",3,604,4,2012,8,"2012-08-01",32
287000,"Gilbert",11792,2003,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1008,9,"BuiltIn",3,632,4,2014,1,"2014-01-01",33
279000,"Gilbert",13006,1997,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",964,8,"BuiltIn",3,642,4,2013,7,"2013-07-01",34
173000,"Gilbert",7959,1997,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",794,8,"Attachd",2,388,3,2012,8,"2012-08-01",35
208000,"Gilbert",9535,1998,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",926,7,"Attachd",2,472,3,2012,4,"2012-04-01",36
192000,"Gilbert",15038,1996,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",916,7,"Attachd",2,386,3,2013,5,"2013-05-01",37
215000,"Gilbert",8400,1996,"S/Level","P'Conc","CompShg","HdBoard","GasFWA","Yes",384,7,"BuiltIn",2,390,3,2014,4,"2014-04-01",38
300000,"Gilbert",14859,2006,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1651,6,"Attachd",3,690,3,2013,6,"2013-06-01",39
240000,"Gilbert",13128,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1074,7,"Attachd",2,527,4,2014,7,"2014-07-01",40
230000,"Gilbert",10463,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",893,8,"Attachd",3,800,3,2013,9,"2013-09-01",41
222000,"Gilbert",10463,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",893,8,"Attachd",3,800,3,2013,4,"2013-04-01",42
199000,"Gilbert",11227,1995,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1114,7,"Attachd",2,431,3,2013,6,"2013-06-01",43
189950,"Gilbert",8773,1997,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",916,7,"Attachd",2,460,3,2012,9,"2012-09-01",44
230000,"Stonebr",5330,2000,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1327,6,"Attachd",2,499,1,2013,10,"2013-10-01",45
350000,"Stonebr",5638,2004,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1910,6,"Attachd",2,594,2,2013,7,"2013-07-01",46
293000,"Stonebr",9304,2000,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1670,5,"Attachd",2,709,2,2012,11,"2012-11-01",47
232500,"Stonebr",4920,2001,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1338,6,"Attachd",2,582,2,2013,6,"2013-06-01",48
244000,"Stonebr",4920,2001,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1598,6,"Attachd",2,581,2,2013,5,"2013-05-01",49
187500,"Stonebr",5794,1992,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1516,5,"Attachd",2,528,2,2012,6,"2012-06-01",50
207000,"Stonebr",5389,1993,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1557,5,"Attachd",2,533,2,2013,4,"2013-04-01",51
210100,"Gilbert",10176,1990,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1291,6,"Attachd",2,484,3,2013,7,"2013-07-01",52
202000,"Gilbert",9019,1998,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",916,7,"Attachd",2,420,3,2012,12,"2012-12-01",53
185550,"Gilbert",9204,1998,"S/Level","P'Conc","CompShg","VinylSd","GasFWA","Yes",384,7,"BuiltIn",2,397,3,2013,5,"2013-05-01",54
211000,"Gilbert",7666,1995,"1.5 Fin","P'Conc","CompShg","HdBoard","GasFWA","Yes",908,7,"Attachd",2,396,3,2014,4,"2014-04-01",55
185000,"Gilbert",7875,1995,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1237,6,"Attachd",2,402,3,2013,7,"2013-07-01",56
169500,"Gilbert",10000,1993,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",763,7,"Attachd",2,440,3,2012,8,"2012-08-01",57
182500,"Gilbert",7685,1993,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",697,6,"Attachd",2,420,3,2012,9,"2012-09-01",58
185000,"Gilbert",9765,1993,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",680,6,"BuiltIn",2,420,3,2012,4,"2012-04-01",59
184500,"Gilbert",10002,1995,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",832,7,"Attachd",2,412,3,2012,4,"2012-04-01",60
175000,"Gilbert",7250,1993,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1181,6,"Attachd",2,430,3,2013,8,"2013-08-01",61
186500,"Gilbert",8717,1994,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",908,7,"BuiltIn",2,390,3,2012,8,"2012-08-01",62
215500,"Gilbert",8953,1992,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",836,7,"Attachd",2,431,3,2013,11,"2013-11-01",63
180000,"Gilbert",8773,1992,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",805,7,"Attachd",2,558,3,2013,6,"2013-06-01",64
135100,"Gilbert",7655,1993,"2-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",903,7,"Attachd",2,392,3,2012,5,"2012-05-01",65
140500,"Stonebr",3638,1985,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",909,5,"Attachd",1,276,2,2012,12,"2012-12-01",66
200000,"Stonebr",5814,1987,"2-Story","C'Block","CompShg","CemntBd","GasFWA","Yes",1199,6,"Attachd",2,552,1,2013,5,"2013-05-01",67
245000,"Stonebr",5062,1984,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1190,6,"Attachd",2,577,3,2014,5,"2014-05-01",68
228000,"Stonebr",6820,1985,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1488,4,"Attachd",2,528,1,2014,6,"2014-06-01",69
189500,"Stonebr",4635,1988,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1565,5,"Attachd",2,495,2,2012,5,"2012-05-01",70
245000,"Stonebr",7663,1986,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1368,5,"Attachd",2,551,2,2013,6,"2013-06-01",71
168000,"Stonebr",5349,1987,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1172,4,"Attachd",2,480,2,2014,6,"2014-06-01",72
214000,"Stonebr",5081,1987,"1.5 Fin","C'Block","CompShg","HdBoard","GasFWA","Yes",1098,5,"Attachd",2,485,2,2014,4,"2014-04-01",73
223500,"Stonebr",5081,1985,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1559,5,"Attachd",2,528,2,2013,10,"2013-10-01",74
212000,"Stonebr",5081,1987,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1520,5,"Attachd",2,538,2,2013,8,"2013-08-01",75
207500,"Stonebr",5081,1987,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1431,5,"Attachd",2,473,2,2014,4,"2014-04-01",76
206000,"Stonebr",5220,1988,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1513,5,"Attachd",2,495,2,2013,10,"2013-10-01",77
248500,"Stonebr",6525,1987,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1596,6,"Attachd",2,563,2,2012,11,"2012-11-01",78
350000,"Gilbert",8384,1990,"2-Story","P'Conc","CompShg","Wd Sdng","GasFWA","Yes",1852,8,"Attachd",2,442,3,2012,6,"2012-06-01",79
325000,"Gilbert",8000,1990,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",2238,5,"Attachd",3,728,2,2013,12,"2013-12-01",80
184000,"Gilbert",8539,1989,"1-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",1412,5,"Attachd",2,576,1,2012,4,"2012-04-01",81
220000,"Gilbert",15047,1984,"1-Story","P'Conc","CompShg","Wd Sdng","GasFWA","Yes",1462,5,"Attachd",2,621,2,2013,8,"2013-08-01",82
429000,"Stonebr",11263,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1492,10,"BuiltIn",3,686,4,2013,8,"2013-08-01",83
328000,"Stonebr",15987,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1245,10,"BuiltIn",3,674,4,2012,2,"2012-02-01",84
175300,"NW Ames",12335,1984,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1211,6,"Attachd",2,684,3,2013,4,"2013-04-01",85
226000,"NW Ames",23679,1985,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1558,6,"Attachd",2,498,3,2012,6,"2012-06-01",86
185500,"NW Ames",13226,1980,"1-Story","P'Conc","CompShg","Plywood","GasFWA","Yes",1447,6,"Attachd",2,486,3,2013,6,"2013-06-01",87
176000,"NW Ames",12090,1981,"2-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",725,6,"Attachd",2,484,3,2012,3,"2012-03-01",88
85000,"Gilbert",39847,1950,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",816,4,"2 Types",3,1137,2,2013,6,"2013-06-01",89
349000,"Stonebr",15891,2010,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1606,8,"Attachd",2,613,2,2014,6,"2014-06-01",90
335000,"Stonebr",10146,2004,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1706,6,"Attachd",2,539,2,2013,7,"2013-07-01",91
332000,"Stonebr",8035,2006,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1612,6,"Attachd",2,556,2,2013,6,"2013-06-01",92
100000,"Stonebr",14028,2013,"1-Story","P'Conc","CompShg","WdShing","GasFWA","Yes",1800,6,"Attachd",2,874,1,2013,10,"2013-10-01",93
120000,"Stonebr",16377,1900,"1.5 Fin","C'Block","CompShg","Wd Sdng","GasFWA","Yes",620,5,"Detachd",2,576,2,2014,6,"2014-06-01",94
170000,"Gilbert",12060,1980,"1-Story","C'Block","CompShg","Plywood","Other","Yes",1606,6,"Attachd",2,764,3,2013,6,"2013-06-01",95
701000,"Gilbert",91177,2008,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",2447,6,"Attachd",3,2442,1,2014,7,"2014-07-01",96
215000,"NW Ames",14145,1984,"1-Story","C'Block","CompShg","Wd Sdng","GasFWA","Yes",1208,8,"Attachd",2,440,3,2014,7,"2014-07-01",97
249900,"NW Ames",12400,1984,"2-Story","P'Conc","CompShg","Plywood","GasFWA","Yes",788,7,"Attachd",2,540,3,2014,5,"2014-05-01",98
269950,"NW Ames",12545,1987,"1-Story","P'Conc","CompShg","Wd Sdng","GasFWA","Yes",1852,8,"Attachd",2,701,3,2014,8,"2014-08-01",99
179000,"NW Ames",12740,1976,"1-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1576,8,"Attachd",2,484,3,2012,1,"2012-01-01",100
317500,"NW Ames",17037,1980,"1.5 Fin","C'Block","CompShg","Wd Sdng","GasFWA","Yes",1686,9,"Attachd",3,779,4,2013,7,"2013-07-01",101
257400,"NW Ames",14596,1977,"1-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1612,8,"Attachd",2,567,3,2014,6,"2014-06-01",102
193750,"NW Ames",10778,1976,"S/Foyer","C'Block","CompShg","Plywood","GasFWA","Yes",1198,6,"Attachd",2,528,3,2012,6,"2012-06-01",103
170000,"NW Ames",12929,1980,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",723,7,"Attachd",2,644,3,2012,2,"2012-02-01",104
191000,"NW Ames",10800,1980,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",795,7,"Attachd",2,547,3,2012,8,"2012-08-01",105
204900,"NW Ames",10928,1978,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1427,7,"Attachd",2,484,3,2012,4,"2012-04-01",106
202500,"NW Ames",9392,1978,"2-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",765,7,"Attachd",2,588,3,2013,10,"2013-10-01",107
244900,"NW Ames",10542,1980,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",988,9,"Attachd",2,672,4,2013,4,"2013-04-01",108
235000,"NW Ames",10542,1980,"2-Story","P'Conc","CompShg","HdBoard","GasFWA","Yes",988,9,"Attachd",2,672,4,2012,3,"2012-03-01",109
225000,"NW Ames",11584,1979,"S/Level","C'Block","CompShg","HdBoard","GasFWA","Yes",539,6,"Attachd",2,550,3,2013,10,"2013-10-01",110
250000,"NW Ames",10400,1979,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",1259,5,"Attachd",2,478,2,2014,7,"2014-07-01",111
287000,"NW Ames",10774,1984,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1223,7,"Attachd",2,667,3,2014,3,"2014-03-01",112
245000,"NW Ames",8529,1980,"2-Story","P'Conc","Other","Wd Sdng","GasFWA","Yes",1190,7,"Attachd",2,669,3,2013,1,"2013-01-01",113
207000,"NW Ames",10400,1979,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",795,7,"Attachd",2,540,3,2014,6,"2014-06-01",114
160425,"NW Ames",10213,1979,"2-Story","C'Block","CompShg","VinylSd","GasFWA","Yes",738,6,"Attachd",2,486,3,2012,3,"2012-03-01",115
185000,"NW Ames",16692,1978,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1392,12,"Attachd",2,564,5,2013,11,"2013-11-01",116
220588,"NW Ames",16692,1978,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1392,12,"Attachd",2,564,5,2013,7,"2013-07-01",117
200000,"NW Ames",13001,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1874,6,"Attachd",2,944,2,2014,7,"2014-07-01",118
163000,"NW Ames",12243,1971,"1-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1484,7,"Attachd",2,487,3,2013,10,"2013-10-01",119
204100,"NW Ames",8991,1976,"S/Level","C'Block","CompShg","Plywood","GasFWA","Yes",1228,5,"Attachd",2,585,3,2014,8,"2014-08-01",120
218000,"NW Ames",10304,1976,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",780,9,"Attachd",2,484,4,2014,9,"2014-09-01",121
310000,"N Ames",12000,2006,"1-Story","P'Conc","CompShg","CemntBd","GasFWA","Yes",1872,7,"Attachd",2,640,2,2014,5,"2014-05-01",122
120000,"N Ames",12000,1975,"1-Story","C'Block","CompShg","Plywood","GasFWA","Yes",864,5,"None",0,0,2,2014,6,"2014-06-01",123
210900,"Somerst",8000,2003,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",872,7,"Attachd",2,540,3,2012,3,"2012-03-01",124
340000,"Somerst",8000,2002,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",974,8,"BuiltIn",2,524,3,2013,7,"2013-07-01",125
305000,"Somerst",9512,2005,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",960,8,"BuiltIn",2,541,3,2014,7,"2014-07-01",126
263000,"Somerst",7842,2006,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1552,7,"Attachd",2,596,3,2012,7,"2012-07-01",127
207000,"Somerst",8533,2002,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1475,6,"Attachd",2,596,3,2013,7,"2013-07-01",128
175500,"NW Ames",10140,1975,"S/Foyer","C'Block","CompShg","HdBoard","GasFWA","Yes",960,4,"Attachd",2,480,2,2014,3,"2014-03-01",129
199000,"NW Ames",10140,1975,"S/Level","C'Block","CompShg","HdBoard","GasFWA","Yes",480,8,"Attachd",2,504,4,2012,7,"2012-07-01",130
169900,"NW Ames",10140,1974,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1064,5,"Attachd",1,336,3,2013,7,"2013-07-01",131
228400,"NW Ames",9182,1974,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",780,10,"Attachd",2,476,4,2012,1,"2012-01-01",132
189500,"NW Ames",10000,1973,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1176,5,"Attachd",2,439,3,2014,6,"2014-06-01",133
151500,"NW Ames",10448,1973,"S/Level","C'Block","CompShg","MetalSd","GasFWA","Yes",893,5,"Attachd",2,440,2,2012,10,"2012-10-01",134
359900,"NW Ames",11517,1994,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1129,8,"Attachd",3,712,3,2013,7,"2013-07-01",135
160000,"N Ames",10500,1969,"S/Level","C'Block","CompShg","HdBoard","GasFWA","Yes",1042,5,"Attachd",1,264,3,2013,5,"2013-05-01",136
156500,"N Ames",9750,1969,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1054,6,"Attachd",2,460,3,2013,8,"2013-08-01",137
98087,"N Ames",15870,1969,"1-Story","C'Block","CompShg","VinylSd","GasFWA","Yes",1096,6,"Attachd",1,299,3,2012,12,"2012-12-01",138
155000,"N Ames",8750,1970,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",1002,5,"Detachd",2,902,3,2013,11,"2013-11-01",139
123000,"N Ames",10380,1970,"1-Story","C'Block","CompShg","VinylSd","GasFWA","Yes",1078,6,"Attachd",1,299,3,2012,11,"2012-11-01",140
81000,"N Ames",7432,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",858,5,"Detachd",2,528,3,2013,2,"2013-02-01",141
140000,"N Ames",12541,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",864,5,"Detachd",2,576,2,2013,7,"2013-07-01",142
146000,"N Ames",14764,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",864,6,"Attachd",2,480,3,2012,7,"2012-07-01",143
128250,"N Ames",9324,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",858,5,"Attachd",1,545,3,2014,4,"2014-04-01",144
111500,"N Ames",9324,1971,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",858,5,"Attachd",1,545,3,2012,1,"2012-01-01",145
163900,"N Ames",9457,1970,"1-Story","C'Block","CompShg","VinylSd","GasFWA","Yes",925,7,"Detachd",2,576,3,2012,10,"2012-10-01",146
105600,"N Ames",7560,1971,"S/Foyer","C'Block","CompShg","HdBoard","GasFWA","Yes",796,5,"Attachd",1,392,2,2014,4,"2014-04-01",147
125500,"N Ames",8294,1976,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",888,5,"None",0,0,3,2014,1,"2014-01-01",148
122500,"N Ames",8470,1970,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",864,5,"Detachd",2,400,3,2012,5,"2012-05-01",149
134500,"N Ames",7735,1970,"S/Foyer","C'Block","CompShg","MetalSd","GasFWA","Yes",768,4,"Attachd",1,384,2,2012,7,"2012-07-01",150
149000,"N Ames",8330,1971,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",864,5,"Detachd",2,400,3,2014,9,"2014-09-01",151
130089,"N Ames",6960,1970,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",825,5,"Detachd",1,686,3,2013,3,"2013-03-01",152
129000,"N Ames",12735,1972,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",864,5,"Detachd",2,576,3,2012,7,"2012-07-01",153
130000,"N Ames",9000,1971,"1-Story","C'Block","CompShg","VinylSd","GasFWA","Yes",864,5,"Detachd",2,576,3,2012,8,"2012-08-01",154
160500,"N Ames",4063,1998,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1330,5,"Attachd",2,506,2,2013,4,"2013-04-01",155
205000,"N Ames",8773,2002,"1-Story","P'Conc","CompShg","MetalSd","GasFWA","Yes",1487,4,"Attachd",2,543,2,2013,8,"2013-08-01",156
108500,"Br'Dale",2058,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",672,7,"Detachd",1,264,4,2012,10,"2012-10-01",157
121000,"Br'Dale",1680,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",483,5,"Detachd",1,264,2,2014,7,"2014-07-01",158
110000,"Br'Dale",2760,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",525,6,"Detachd",2,440,3,2013,9,"2013-09-01",159
120300,"Br'Dale",2318,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",525,6,"Detachd",1,264,3,2014,7,"2014-07-01",160
105001,"Br'Dale",2318,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",525,6,"Detachd",1,264,3,2014,1,"2014-01-01",161
90000,"Br'Dale",2318,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",525,6,"Detachd",1,264,3,2013,7,"2013-07-01",162
84000,"Br'Dale",1680,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",483,5,"Detachd",1,264,2,2012,12,"2012-12-01",163
121000,"Br'Dale",1680,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",483,5,"Detachd",1,264,2,2014,4,"2014-04-01",164
89000,"Br'Dale",1680,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",483,5,"Detachd",1,264,2,2012,4,"2012-04-01",165
101000,"Br'Dale",1680,1973,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",483,5,"Detachd",1,264,3,2013,6,"2013-06-01",166
130000,"Br'Dale",2675,1972,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",765,7,"Detachd",2,440,3,2014,6,"2014-06-01",167
130000,"Br'Dale",2160,1972,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",765,7,"Detachd",2,440,3,2014,4,"2014-04-01",168
124900,"Br'Dale",2160,1972,"2-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",765,7,"Detachd",2,440,3,2012,1,"2012-01-01",169
152000,"NoPkVil",2308,1974,"1-Story","C'Block","CompShg","Plywood","GasFWA","Yes",1055,5,"Attachd",2,440,2,2014,7,"2014-07-01",170
155000,"NoPkVil",2308,1975,"2-Story","C'Block","CompShg","Plywood","GasFWA","Yes",804,7,"Detachd",2,429,3,2013,7,"2013-07-01",171
