"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-1,0.02,0.18,0.27,0.34,NA,-0.08,-0.5,0.05,-0.16,NA,NA,NA,-0.29,1.24,NA,NA
-0.54,0.14,0.46,0.37,0.3,0,-0.25,-0.48,0.15,-0.18,0.26,-0.17,0.3,-0.45,NA,NA,0.25
-1,-0.01,0.22,0.3,0.18,NA,-0.19,-0.67,-0.05,-0.23,NA,NA,NA,-0.18,NA,NA,NA
-0.84,0.05,0.21,0.24,0.19,NA,-0.54,-0.35,0.24,-0.05,NA,-0.34,NA,-0.6,NA,NA,NA
-1.06,0.26,0.22,0.2,0.25,NA,-0.25,-0.89,0.33,0.43,NA,0.28,NA,-0.41,NA,NA,NA
NA,0.19,NA,0.5,0.57,NA,-0.13,NA,NA,-0.15,NA,NA,NA,0.28,NA,NA,NA
-0.74,0.35,0.5,0.39,0.25,NA,-0.45,-0.91,0.12,-0.01,NA,NA,NA,NA,NA,NA,NA
-0.96,0,0.25,0.2,0.17,0.02,-0.32,-0.42,0.08,-0.04,NA,0.04,0.42,-0.43,NA,NA,0.22
-0.71,0.05,0.27,0.24,0.32,NA,-0.5,-0.67,0.2,-0.09,NA,-0.2,NA,-0.12,NA,NA,NA
-0.75,-0.03,0.11,0.03,0.07,-0.04,-0.26,-0.17,0,0.33,0.47,-1.11,NA,-1.2,NA,NA,NA
-1.12,-0.09,0.06,0.16,0.17,NA,-0.39,-0.61,0.09,0.03,NA,-0.36,NA,-0.37,NA,NA,NA
-0.82,-0.26,0.14,-0.06,0.01,NA,-0.59,0.03,0.59,0.71,0.55,-0.89,NA,-1.65,NA,NA,NA
-0.68,0.06,0.51,0.48,0.36,NA,-0.28,-0.75,0.24,0.11,NA,0.64,NA,-0.53,NA,NA,NA
-0.74,0.11,0.26,0.21,0.25,NA,-0.49,-0.82,0.11,0.02,NA,-0.59,NA,-0.86,NA,NA,NA
-0.77,0.3,0.27,0.29,0.16,-0.15,-0.26,-0.38,-0.02,0.42,0.31,-0.05,0.27,0.12,0.28,0.43,0.51
-1.06,0.06,0.22,0.32,0.3,NA,-0.17,-0.56,NA,0.06,NA,NA,NA,-0.26,NA,NA,NA
-0.91,0.08,0.32,0.28,0.4,NA,-0.31,-0.59,0.35,-0.09,NA,NA,NA,0.04,NA,NA,NA
-1.14,0.17,0.26,0.31,0.3,NA,-0.4,-0.74,0.22,0.02,NA,-0.02,NA,-0.38,NA,NA,NA
-0.73,0.23,0.4,0.28,0.67,NA,-0.33,-0.84,0.44,0.22,NA,-0.04,NA,-0.45,NA,NA,NA
-0.62,-0.07,0.26,0.14,0.13,NA,-0.37,-0.6,0.06,-0.1,NA,-0.32,0.27,-0.06,0.23,0.25,0.53
-0.87,0.04,0.32,0.23,0.21,-0.02,-0.35,-0.64,0.16,-0.23,0.39,-0.27,NA,-0.05,NA,NA,0.17
-0.8,0.27,0.25,0.26,0.25,0.01,-0.33,-0.56,0.16,0.43,0.43,-0.13,NA,-0.42,NA,NA,0.16
-0.83,-0.02,0.1,0.23,0.18,NA,0.01,-0.22,0.19,-0.18,0.37,-0.31,0.24,-0.76,NA,NA,0.25
-0.96,0.11,0.13,0.21,0.32,NA,-0.03,-0.44,0.14,-0.01,0.57,0.03,0.55,NA,NA,0.66,0.48
-0.82,0.23,0.24,0.3,0.27,NA,-0.27,-0.55,NA,0.01,NA,NA,NA,NA,NA,NA,NA
-0.93,0.01,0.28,0.24,0.18,NA,0.01,-0.29,0.11,0.17,0.55,-0.15,NA,-0.78,NA,NA,NA
-1.07,0.15,0.38,0.44,0.39,NA,-0.14,-0.56,0.06,-0.14,NA,NA,NA,-0.24,NA,NA,NA
-0.65,NA,0.55,0.48,0.51,NA,NA,NA,NA,0.17,NA,NA,NA,0.07,NA,NA,NA
-0.85,0.06,0.37,0.41,0.32,NA,-0.04,-0.43,-0.08,-0.21,NA,0.51,0.98,0.7,NA,NA,NA
-1.12,-0.16,0.11,0.05,-0.04,NA,-0.3,-0.78,-0.03,-0.4,NA,-0.5,NA,-1.1,NA,NA,NA
-0.95,0.07,0.27,0.29,0.13,NA,-0.48,-0.92,0.15,0,NA,-0.54,NA,-0.81,NA,NA,NA
-0.97,-0.01,0.37,0.37,0.25,NA,-0.29,-0.72,0.02,-0.24,NA,NA,NA,-0.14,NA,NA,NA
-0.89,0.1,0.29,0.31,0.28,NA,-0.29,-0.59,0.35,-0.09,NA,NA,NA,-0.26,NA,NA,NA
-0.98,0.04,0.21,0.23,0.26,NA,-0.43,-0.77,0.27,0.01,NA,-0.57,NA,-0.1,NA,NA,0.72
-1.02,0.24,0.35,0.37,0.36,NA,-0.13,-0.5,0.23,0.04,NA,NA,NA,0.13,NA,NA,NA
-1.01,0.04,0.18,-0.18,-0.23,-0.18,-0.31,-0.29,0.15,0.01,NA,NA,NA,-1.68,NA,NA,NA
-0.78,0.06,0.33,0.38,0.27,NA,-0.06,-0.49,-0.01,-0.2,NA,-0.1,0.52,-0.05,NA,NA,NA
-0.83,0.05,0.38,0.4,0.24,0,0.03,-0.28,0.14,-0.16,NA,-0.24,0.38,-0.42,NA,NA,0.47
-0.92,0.06,0.36,0.33,0.26,NA,-0.41,-0.91,0.25,-0.05,NA,-0.05,NA,-0.9,NA,NA,NA
-0.71,-0.08,0.22,0.11,0.11,-0.19,-0.24,-0.34,-0.08,0.17,0.28,-0.37,0.04,-0.38,NA,NA,-0.01
-0.73,0.17,0.36,0.35,0.35,NA,-0.18,NA,NA,-0.07,NA,NA,NA,-0.31,NA,NA,NA
-0.61,0.06,0.37,0.3,0.27,NA,-0.12,-0.53,0.1,-0.12,NA,NA,NA,-0.26,NA,NA,NA
-0.51,0.14,0.36,0.33,0.24,0.01,-0.08,-0.41,0.01,-0.15,0.19,-0.22,0.19,-0.8,-0.03,0.21,NA
-0.66,0.2,0.18,0.28,0.23,-0.01,0.02,-0.28,0.11,-0.2,0.03,-0.08,0.4,-0.03,0.14,NA,0.45
-0.96,-0.03,0.22,0.37,0.21,NA,-0.08,-0.32,0.15,0.04,NA,-0.22,NA,0.13,NA,NA,0.68
-0.07,0.39,0.77,0.31,0.16,NA,-0.37,-0.55,0.26,-0.21,NA,-0.9,NA,0.52,0.32,NA,NA
-0.71,0.14,0.29,0.18,0.16,-0.05,-0.34,-0.37,0.14,-0.05,0.21,-0.29,0.04,-0.84,NA,NA,0.02
NA,0.03,0.24,0.32,0.25,NA,-0.09,-0.43,-0.03,-0.16,NA,-0.3,NA,-0.03,NA,NA,NA
-0.96,-0.01,0.19,0.24,0.15,NA,-0.26,-0.69,0.02,-0.02,NA,-0.28,NA,-0.66,NA,NA,NA
-0.41,0.23,0.36,0.2,0.21,NA,-0.29,-0.73,0.27,0.03,NA,-0.4,NA,-0.75,NA,NA,NA
-0.92,0.14,0.32,0.36,0.26,NA,-0.27,-0.55,0.2,0,NA,-0.21,NA,-0.11,NA,NA,0.62
-0.84,0.11,0.22,0.14,0.08,NA,-0.51,-0.55,0.24,0.35,NA,-0.49,NA,-1.27,NA,NA,NA
-0.89,-0.06,0.17,0.19,0.11,-0.13,-0.41,-0.3,0.08,-0.02,0.06,-0.14,0.3,0.29,0.19,0.2,0.58
-0.52,0.05,0.33,0.23,0.09,-0.11,-0.56,-0.39,0.05,0.03,0.17,-0.34,0.01,-0.57,NA,-0.26,-0.15
-0.66,0.11,0.32,0.31,0.23,-0.07,-0.41,-0.44,0.1,-0.06,0.29,-0.29,0.09,-0.52,NA,NA,NA
-1.03,-0.1,0.25,0.17,0.05,NA,-0.32,-0.56,0,-0.1,NA,-0.62,NA,-1.36,NA,NA,NA
-1.01,0.05,0.32,0.31,0.25,NA,-0.16,-0.45,0.06,-0.16,NA,-0.08,NA,0.09,NA,NA,NA
-0.93,0.03,0.42,0.35,0.33,NA,-0.21,-0.71,0.07,-0.02,NA,NA,NA,-0.16,NA,NA,NA
-0.77,0.18,0.36,0.36,0.27,0.07,-0.29,-0.53,0.15,-0.13,NA,-0.29,NA,-0.57,NA,NA,NA
-0.98,0.13,0.32,0.29,0.31,NA,-0.21,-0.47,0.24,-0.04,0.27,0.13,0.58,0.59,0.65,0.61,1.05
-1.01,0.1,0.23,0.26,0.17,NA,-0.32,-0.55,0.25,-0.11,NA,-0.15,NA,-1,NA,NA,NA
-0.97,0.12,0.33,0.35,0.3,NA,-0.43,-0.74,0.3,-0.07,NA,-0.2,NA,-0.57,NA,NA,NA
-0.79,0.13,0.29,0.34,0.22,0.05,-0.25,-0.47,0.18,-0.19,NA,-0.12,NA,-0.28,NA,NA,0.45
-1.39,-0.14,0.15,0.19,0.11,NA,-0.12,-0.36,-0.03,-0.61,NA,-0.29,NA,-0.46,NA,NA,NA
-1.09,0.19,0.32,0.3,0.3,NA,-0.39,-0.69,0.29,0.09,NA,NA,NA,-0.84,NA,NA,NA
-1.18,-0.07,0.19,0.23,0.21,NA,-0.32,-0.58,0.08,-0.17,NA,-0.34,NA,-0.37,NA,NA,NA
-1.07,0.03,0.22,0.34,0.24,NA,-0.28,-0.29,0.24,0.06,NA,-0.04,NA,-0.1,NA,NA,0.56
-0.89,0.03,0.18,0.36,0.38,NA,-0.07,-0.41,0.11,0.18,NA,0.19,NA,-0.01,NA,0.79,NA
-0.95,-0.01,0.3,0.32,0.32,NA,-0.23,-0.51,0.19,0.12,NA,-0.15,NA,0.45,NA,NA,0.95
-1.02,0.12,0.14,0.18,0.24,0.01,-0.15,-0.25,0.32,-0.11,NA,-0.46,NA,-0.83,NA,NA,NA
-1.25,-0.47,-0.08,-0.02,-0.18,NA,-0.22,-0.27,-0.21,-0.07,NA,NA,NA,-1.37,NA,NA,NA
